Axis (deg),I(cts)
68.5889,23
68.5989,25
68.6089,28
68.6189,20
68.6289,39
68.6389,29
68.6489,32
68.6589,35
68.6689,39
68.6789,38
68.6889,58
68.6989,60
68.7089,40
68.7189,58
68.7289,51
68.7389,54
68.7489,45
68.7589,54
68.7689,69
68.7789,81
68.7889,79
68.7989,74
68.8089,92
68.8189,83
68.8289,78
68.8389,86
68.8489,102
68.8589,105
68.8689,106
68.8789,123
68.8889,131
68.8989,138
68.9089,121
68.9189,155
68.9289,163
68.9389,191
68.9489,177
68.9589,191
68.9689,205
68.9789,245
68.9889,268
68.9989,264
69.0089,265
69.0189,315
69.0289,328
69.0389,340
69.0489,343
69.0589,383
69.0689,406
69.0789,435
69.0889,425
69.0989,446
69.1089,492
69.1189,547
69.1289,518
69.1389,552
69.1489,545
69.1589,637
69.1689,667
69.1789,664
69.1889,736
69.1989,744
69.2089,834
69.2189,871
69.2289,897
69.2389,1028
69.2489,1104
69.2589,1167
69.2689,1299
69.2789,1376
69.2889,1522
69.2989,1568
69.3089,1767
69.3189,1871
69.3289,2028
69.3389,2191
69.3489,2484
69.3589,2698
69.3689,2890
69.3789,3384
69.3889,3609
69.3989,3887
69.4089,4510
69.4189,5104
69.4289,5771
69.4389,6544
69.4489,7555
69.4589,8827
69.4689,10584
69.4789,12781
69.4889,15307
69.4989,19246
69.5089,24825
69.5189,33268
69.5289,46746
69.5389,70446
69.5489,118833
69.5589,244939
69.5689,851508
69.5789,55039014
69.5889,102895110
69.5989,1282986
69.6089,290326
69.6189,132317
69.6289,76808
69.6389,50601
69.6489,35621
69.6589,26968
69.6689,20757
69.6789,16552
69.6889,13609
69.6989,11100
69.7089,9389
69.7189,7961
69.7289,6731
69.7389,6138
69.7489,5388
69.7589,4780
69.7689,4265
69.7789,3889
69.7889,3419
69.7989,3074
69.8089,2801
69.8189,2638
69.8289,2388
69.8389,2151
69.8489,2009
69.8589,1910
69.8689,1789
69.8789,1663
69.8889,1591
69.8989,1463
69.9089,1422
69.9189,1300
69.9289,1294
69.9389,1216
69.9489,1165
69.9589,1124
69.9689,1047
69.9789,910
69.9889,874
69.9989,837
70.0089,810
70.0189,717
70.0289,778
70.0389,712
70.0489,682
70.0589,673
70.0689,616
70.0789,589
70.0889,587
70.0989,559
70.1089,537
70.1189,469
70.1289,437
70.1389,435
70.1489,444
70.1589,419
70.1689,370
70.1789,404
70.1889,398
70.1989,345
70.2089,344
70.2189,345
70.2289,323
70.2389,327
70.2489,314
70.2589,297
70.2689,275
70.2789,275
70.2889,259
70.2989,276
70.3089,256
70.3189,255
70.3289,247
70.3389,219
70.3489,208
70.3589,212
70.3689,193
70.3789,213
70.3889,175
70.3989,184
70.4089,177
70.4189,178
70.4289,158
70.4389,167
70.4489,181
70.4589,167
70.4689,146
70.4789,144
70.4889,129
70.4989,159
70.5089,147
70.5189,137
70.5289,148
70.5389,140
70.5489,143
70.5589,117
70.5689,115
70.5789,109
70.5889,94
